Elo Rank,Player,Age,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Peak Elo,Peak Month,WTA Rank,Log diff
1,Aryna Sabalenka,28.1,2209.4,1,2196.0,1,2097.9,1,1983.6,2271.7,2026-04,1,0
2,Elena Rybakina,27.0,2111.4,2,2104.4,6,1996.1,6,1878.4,2199.5,2026-04,2,0
3,Jessica Pegula,32.3,2097.3,3,2058.4,8,1941.8,3,1916.8,2116.1,2026-04,3,0
4,Karolina Muchova,29.8,2089.4,4,2045.7,9,1904.1,4,1916.8,2103.5,2026-06,6,-0.41
5,Coco Gauff,22.2,2088.4,5,2043.3,2,2027.0,7,1874.3,2155.7,2024-01,4,0.22
6,Marta Kostyuk,24.0,2065.8,10,1972.1,5,1996.7,12,1826.7,2079.0,2026-06,11,-0.61
7,Iga Swiatek,25.0,2058.0,6,2018.8,4,2005.1,5,1903.5,2291.0,2024-07,8,-0.13
8,Mirra Andreeva,19.1,2056.9,9,1985.3,3,2025.9,15,1798.0,2159.2,2025-03,5,0.47
9,Elina Svitolina,31.7,2055.3,8,1990.1,7,1987.2,9,1835.1,2120.6,2018-05,10,-0.11
10,Linda Noskova,21.6,2054.3,12,1951.7,17,1851.1,2,1943.1,2054.3,2026-06,7,0.36
11,Victoria Mboko,19.7,2005.9,7,2006.3,14,1856.1,39,1706.6,2093.8,2026-03,12,-0.09
12,Naomi Osaka,28.7,2004.5,13,1930.0,11,1894.6,10,1831.3,2193.3,2021-03,13,-0.08
13,Belinda Bencic,29.3,1994.4,11,1955.0,16,1851.2,14,1806.6,2100.0,2015-09,14,-0.07
14,Madison Keys,31.3,1988.6,14,1920.8,10,1894.6,8,1848.1,2090.1,2016-08,23,-0.50
15,Sorana Cirstea,36.2,1957.1,15,1914.8,15,1856.0,41,1703.2,1972.4,2026-05,17,-0.13
16,Iva Jovic,18.5,1932.8,20,1860.9,22,1806.3,11,1827.3,1951.1,2026-02,16,0
17,Jasmine Paolini,30.4,1928.6,16,1884.2,13,1867.9,16,1797.8,2058.1,2025-10,15,0.13
18,Elise Mertens,30.6,1920.6,19,1861.0,19,1824.3,19,1788.8,2042.7,2021-04,24,-0.29
