player,elo
Jurgen Melzer,1466.4019374866846
Andy Roddick,1612.8700439589875
Alexandr Dolgopolov,1448.1599242601037
Dmitry Tursunov,1518.2994001073243
Justin Engel,1489.9301687094267
Kevin Anderson,1585.59344731205
Oscar Otte,1531.6626314512855
Karol Beck,1519.440632092429
Viktor Troicki,1462.1553226360027
Aslan Karatsev,1455.87220611228
Ze Zhang,1470.9850195884972
Niels Mcdonald,1480.0
Andrew Foster,1493.3407585429832
Dan Goldie,1490.9841031412748
George Bastl,1510.0
Aleksandar Vukic,1489.7660723700685
Zhizhen Zhang,1438.4257722864747
Bradley Klahn,1528.7762114470693
Tung Lin Wu,1509.4155713018745
Luciano Darderi,1447.7479439700955
Johannes Haerteis,1488.2859688303706
Victor Hanescu,1532.0237985090773
Cedric Pioline,1556.4503029607315
Raul Brancaccio,1480.57548736664
Joao Souza,1480.0
Marcos Baghdatis,1414.1847869854375
Dimitar Kuzmanov,1527.6200706305729
Oleksandr Ovcharenko,1499.1005004856381
Stan Smith,1463.361730141013
Brandon Holt,1491.0296715503873
Felix Auger Aliassime,1441.7126884776412
Filip Dewulf,1478.591855609451
Joao Fonseca,1429.716573562825
Renzo Furlan,1490.5103572502655
Lleyton Hewitt,1424.0924616791724
Dhakshineswar Suresh,1507.4034876384228
Rogerio Dutra Silva,1510.0
Benjamin Balleret,1496.4149747860565
Karue Sell,1460.1286126353255
Alex Michelsen,1649.449173696987
Mariano Puerta,1500.1439357491638
Hyeon Chung,1447.3127606804478
Juan Aguilera,1517.6053598862982
Michael Llodra,1517.3043665247599
Masamichi Imamura,1480.0
Andrea Gaudenzi,1484.6955159781817
Juan Carlos Saez,1490.0
Bruno Kuzuhara,1520.0
Kyrian Jacquet,1525.5707419094404
Jason Jung,1497.0610171189257
Sergi Bruguera,1608.6227273572176
Jimmy Arias,1498.2589623310146
Roberto Bautista Agut,1654.043224102481
Daniel Kosakowski,1489.6516166759595
Darren Cahill,1509.6802716323039
Byron Black,1508.4179130040363
Frank Dancevic,1516.9970186455766
Marinko Matosevic,1478.0703618226098
Mathias Bourgue,1510.0
Darian King,1490.8369126932575
Corentin Denolly,1507.0123750065832
Roy Smith,1520.0
Dominik Koepfer,1464.9368829534128
Elias Ymer,1485.4373644112454
Jo Wilfried Tsonga,1586.0492590038118
Ho Gi Kang,1510.0
Nishesh Basavareddy,1507.6436043196632
Radek Stepanek,1389.4891641889142
Peter Gojowczyk,1477.6536930792308
Goran Prpic,1511.0671914869747
Vincent Spadea,1531.0003050401865
Vincenzo Santopadre,1488.7774232961362
Gonzalo Escobar,1491.105585144014
Jimmy Connors,1413.4416232316257
Salvatore Caruso,1508.862956783188
Zeljko Krajan,1490.3651748290258
Kamil Majchrzak,1532.8594262630045
Dustin Brown,1443.1166619834964
Rafael Arevalo,1515.179085447176
Alexander Popp,1481.3598645248217
Albert Ramos,1395.6813844839892
Wesley Moodie,1476.953627160066
Joris De Loore,1480.0
Illya Marchenko,1452.2141583495768
Mate Delic,1520.0
Rod Laver,1555.307444207692
Federico Arnaboldi,1488.9252794294089
Alejandro Moro Canas,1518.0696403692425
Tallon Griekspoor,1556.5984152620695
Sergey Fomin,1483.5841988297086
Gabriele Felline,1480.0
Brayden Schnur,1438.1965184185217
Jared Donaldson,1539.647133400971
Aisam Ul Haq Qureshi,1508.9742127451568
Mario Ancic,1543.122467730592
Matteo Arnaldi,1644.5872389940657
Facundo Arguello,1480.0
Donald Young,1531.8217851460756
Tomas Behrend,1496.8076402141676
Fernando Romboli,1510.0
Laslo Djere,1466.6148976041795
Dominik Hrbaty,1474.6573467192754
Kiranpal Pannu,1509.218418706158
Daniel De Jonge,1492.1144870665923
Jannik Sinner,1391.4714656423575
Corrado Barazzutti,1518.8499774443092
Philipp Kohlschreiber,1347.2630574354394
Chris Lewis,1544.886756285635
Casper Ruud,1803.29932462525
Matwe Middelkoop,1491.4282837279006
Sho Katayama,1510.0
Lukasz Kubot,1490.0560107788904
Aristotelis Thanos,1516.4319168942952
Kevin Krawietz,1489.7398489008142
Guy Den Ouden,1551.3454014594417
Tim Van Rijthoven,1453.3212472253106
Harold Mayot,1460.4292083871933
Pat Cash,1538.6476069318878
Pavel Kotov,1453.0646895611696
Kilian Feldbausch,1510.0
Ronit Karki,1480.0
Gaston Gaudio,1491.5149047695338
